run_at,research_gate,source_report_choice,frequency,portfolio_size,promotion_state,avg_net_return_pct,avg_excess_return_pct,positive_period_rate_pct,max_drawdown_pct,periods,selected_positions,fundamental_coverage_pct,latest_recommendations,experiment_dir
2026-05-18T19:11:57+09:00,VALUE_MOMENTUM_MVP,PDF Top 1: value/quality + momentum multifactor portfolio bot,monthly,20,failed_research,3.065,-0.956,50.0,-15.209,14,160,100.0,10,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\experiments\EXP_20260518_191157_VALUE_MOMENTUM_MVP
2026-05-18T19:14:17+09:00,VALUE_MOMENTUM_MVP,PDF Top 1: value/quality + momentum multifactor portfolio bot,monthly,20,failed_research,3.065,-0.956,50.0,-15.209,14,160,100.0,10,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\experiments\EXP_20260518_191417_VALUE_MOMENTUM_MVP
