run_at,research_gate,experiment_id,strategy_family,frequency,portfolio_size,promotion_state,avg_net_return_pct,avg_excess_return_pct,positive_period_rate_pct,max_drawdown_pct,periods,selected_positions,fundamental_coverage_pct,profitability_coverage_pct,data_note,experiment_dir
2026-05-18T13:57:37+09:00,RG2,RG2-001,rg2_multifactor_balanced,monthly,10,needs_fundamental_data,-0.859,-3.169,33.33,-4.528,3,30,0.0,,Fundamental coverage 0.00% is below required 50.00%.,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\experiments\EXP_20260518_135737_RG2
2026-05-18T13:57:37+09:00,RG2,RG2-002,rg2_quality_value_momentum,monthly,10,needs_fundamental_data,0.747,-1.562,33.33,-2.36,3,30,0.0,,Fundamental coverage 0.00% is below required 50.00%.,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\experiments\EXP_20260518_135737_RG2
2026-05-18T13:57:37+09:00,RG2,RG2-003,rg2_defensive_low_vol,monthly,10,needs_fundamental_data,-2.831,-5.14,33.33,-4.037,3,30,0.0,,Fundamental coverage 0.00% is below required 50.00%.,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\experiments\EXP_20260518_135737_RG2
2026-05-18T14:00:11+09:00,RG2,RG2-001,rg2_multifactor_balanced,monthly,20,needs_fundamental_data,3.864,-0.158,57.14,-11.043,14,259,0.0,,Fundamental coverage 0.00% is below required 50.00%.,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\experiments\EXP_20260518_140011_RG2
2026-05-18T14:00:11+09:00,RG2,RG2-002,rg2_quality_value_momentum,monthly,20,needs_fundamental_data,5.078,1.056,57.14,-15.112,14,259,0.0,,Fundamental coverage 0.00% is below required 50.00%.,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\experiments\EXP_20260518_140011_RG2
2026-05-18T14:00:11+09:00,RG2,RG2-003,rg2_defensive_low_vol,monthly,20,needs_fundamental_data,3.669,-0.352,71.43,-8.307,14,259,0.0,,Fundamental coverage 0.00% is below required 50.00%.,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\experiments\EXP_20260518_140011_RG2
2026-05-18T14:19:46+09:00,RG2,RG2-001,rg2_multifactor_balanced,monthly,10,needs_fundamental_data,-0.827,-3.136,33.33,-4.528,3,30,3.33,,Fundamental coverage 3.33% is below required 50.00%.,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\experiments\EXP_20260518_141946_RG2
2026-05-18T14:19:46+09:00,RG2,RG2-002,rg2_quality_value_momentum,monthly,10,needs_fundamental_data,0.895,-1.414,33.33,-2.36,3,30,3.33,,Fundamental coverage 3.33% is below required 50.00%.,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\experiments\EXP_20260518_141946_RG2
2026-05-18T14:19:46+09:00,RG2,RG2-003,rg2_defensive_low_vol,monthly,10,needs_fundamental_data,-3.143,-5.452,33.33,-4.037,3,30,3.33,,Fundamental coverage 3.33% is below required 50.00%.,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\experiments\EXP_20260518_141946_RG2
2026-05-18T14:22:52+09:00,RG2,RG2-001,rg2_multifactor_balanced,monthly,10,needs_more_sample,-4.333,-6.643,33.33,-4.243,3,30,96.67,,Not enough chronological periods or selected positions for paper review.,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\experiments\EXP_20260518_142252_RG2
2026-05-18T14:22:52+09:00,RG2,RG2-002,rg2_quality_value_momentum,monthly,10,needs_more_sample,-2.033,-4.342,33.33,-4.427,3,30,96.67,,Not enough chronological periods or selected positions for paper review.,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\experiments\EXP_20260518_142252_RG2
2026-05-18T14:22:52+09:00,RG2,RG2-003,rg2_defensive_low_vol,monthly,10,needs_more_sample,-3.521,-5.831,33.33,-4.131,3,30,90.0,,Not enough chronological periods or selected positions for paper review.,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\experiments\EXP_20260518_142252_RG2
2026-05-18T14:24:03+09:00,RG2,RG2-001,rg2_multifactor_balanced,monthly,10,paper_only,4.181,0.16,71.43,-16.761,14,130,96.92,,Research pass allows paper-only review. Live order automation remains disabled.,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\experiments\EXP_20260518_142403_RG2
2026-05-18T14:24:03+09:00,RG2,RG2-002,rg2_quality_value_momentum,monthly,10,paper_only,4.808,0.786,71.43,-15.243,14,130,98.46,,Research pass allows paper-only review. Live order automation remains disabled.,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\experiments\EXP_20260518_142403_RG2
2026-05-18T14:24:03+09:00,RG2,RG2-003,rg2_defensive_low_vol,monthly,10,failed_research,3.59,-0.432,64.29,-12.664,14,130,93.08,,"Performance did not pass net return, benchmark, hit-rate, or drawdown gates.",D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\experiments\EXP_20260518_142403_RG2
2026-05-18T14:28:02+09:00,RG2,RG2-001,rg2_multifactor_balanced,monthly,10,needs_profitability_data,4.181,0.16,71.43,-16.761,14,130,96.92,0.77,Profitability coverage 0.77% is below required 50.00%.,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\experiments\EXP_20260518_142802_RG2
2026-05-18T14:28:02+09:00,RG2,RG2-002,rg2_quality_value_momentum,monthly,10,needs_profitability_data,4.808,0.786,71.43,-15.243,14,130,98.46,1.54,Profitability coverage 1.54% is below required 50.00%.,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\experiments\EXP_20260518_142802_RG2
2026-05-18T14:28:02+09:00,RG2,RG2-003,rg2_defensive_low_vol,monthly,10,needs_profitability_data,3.59,-0.432,64.29,-12.664,14,130,93.08,0.77,Profitability coverage 0.77% is below required 50.00%.,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\experiments\EXP_20260518_142802_RG2
2026-05-18T15:03:15+09:00,RG2,RG2-001,rg2_multifactor_balanced,monthly,10,paper_only,4.161,0.14,57.14,-17.683,14,130,96.92,78.46,Research pass allows paper-only review. Live order automation remains disabled.,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\experiments\EXP_20260518_150315_RG2
2026-05-18T15:03:15+09:00,RG2,RG2-002,rg2_quality_value_momentum,monthly,10,paper_only,5.78,1.759,71.43,-15.873,14,130,99.23,80.0,Research pass allows paper-only review. Live order automation remains disabled.,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\experiments\EXP_20260518_150315_RG2
2026-05-18T15:03:15+09:00,RG2,RG2-003,rg2_defensive_low_vol,monthly,10,failed_research,3.469,-0.552,64.29,-11.604,14,130,92.31,76.15,"Performance did not pass net return, benchmark, hit-rate, or drawdown gates.",D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\experiments\EXP_20260518_150315_RG2
