ticker,company,market,isin,source_bas_dt,open,high,low,close,change,day_change_pct,volume,trading_value,listed_shares,market_cap,data_vendor
008930,한미사이언스,KOSPI,,20250314,27350.0,28100.0,27350.0,27950.0,650.0,2.38,64649.0,1796217800.0,68391550.0,1911543822500.0,krx-open-api
009150,삼성전기,KOSPI,,20250314,139500.0,140700.0,136600.0,137400.0,-700.0,-0.51,269055.0,37094605350.0,74693696.0,10262913830400.0,krx-open-api
009540,HD한국조선해양,KOSPI,,20250314,213000.0,217500.0,211000.0,214000.0,-500.0,-0.23,136430.0,29212870500.0,70773116.0,15145446824000.0,krx-open-api
009830,한화솔루션,KOSPI,,20250314,20100.0,20450.0,20000.0,20150.0,-200.0,-0.98,804392.0,16215826100.0,171892536.0,3463634600400.0,krx-open-api
009970,영원무역홀딩스,KOSPI,,20250314,92700.0,94100.0,92500.0,93600.0,0.0,0.0,12667.0,1182979750.0,13635592.0,1276291411200.0,krx-open-api
010060,OCI홀딩스,KOSPI,,20250314,79100.0,80000.0,78600.0,79300.0,200.0,0.25,26186.0,2076031100.0,18814917.0,1492022918100.0,krx-open-api
010120,LS ELECTRIC,KOSPI,,20250314,207000.0,210000.0,204500.0,206500.0,1500.0,0.73,337837.0,69901422500.0,30000000.0,6195000000000.0,krx-open-api
010130,고려아연,KOSPI,,20250314,935000.0,991000.0,910000.0,913000.0,-42000.0,-4.4,73364.0,69169206000.0,20703283.0,18902097379000.0,krx-open-api
010140,삼성중공업,KOSPI,,20250314,14160.0,14430.0,14090.0,14320.0,240.0,1.7,8537547.0,121968421065.0,880000000.0,12601600000000.0,krx-open-api
010170,대한광통신,KOSDAQ,,20250314,594.0,624.0,594.0,620.0,19.0,3.16,463543.0,283856615.0,109511166.0,67896922920.0,krx-open-api
010950,S-Oil,KOSPI,,20250314,60500.0,60500.0,58900.0,59000.0,-1200.0,-1.99,103373.0,6127807300.0,112582792.0,6642384728000.0,krx-open-api
011070,LG이노텍,KOSPI,,20250314,158400.0,160200.0,157800.0,158000.0,-1700.0,-1.06,208157.0,32963150800.0,23667107.0,3739402906000.0,krx-open-api
011170,롯데케미칼,KOSPI,,20250314,76000.0,78300.0,73300.0,74100.0,-1300.0,-1.72,222175.0,16663891950.0,42775419.0,3169658547900.0,krx-open-api
011200,HMM,KOSPI,,20250314,20750.0,21150.0,20250.0,20700.0,100.0,0.49,1976062.0,40733401325.0,881039496.0,18237517567200.0,krx-open-api
011780,금호석유,KOSPI,,20250314,111200.0,114600.0,110200.0,113500.0,2500.0,2.25,124220.0,14099954750.0,27334587.0,3102475624500.0,krx-open-api
011790,SKC,KOSPI,,20250314,130000.0,137800.0,129000.0,136500.0,6000.0,4.6,459621.0,62021682250.0,37868298.0,5169022677000.0,krx-open-api
012330,현대모비스,KOSPI,,20250314,253500.0,256500.0,250000.0,255500.0,-500.0,-0.2,216811.0,54900837500.0,92995094.0,23760246517000.0,krx-open-api
012450,한화에어로스페이스,KOSPI,,20250314,700000.0,714000.0,696000.0,705000.0,-2000.0,-0.28,294939.0,208019675500.0,45581161.0,32134718505000.0,krx-open-api
012510,더존비즈온,KOSPI,,20250314,65500.0,66700.0,64300.0,66300.0,300.0,0.45,140337.0,9274676200.0,30382784.0,2014378579200.0,krx-open-api
012750,에스원,KOSPI,,20250314,61200.0,62800.0,60600.0,61600.0,800.0,1.32,34445.0,2131336300.0,37999178.0,2340749364800.0,krx-open-api
014680,한솔케미칼,KOSPI,,20250314,131400.0,139400.0,131000.0,137500.0,6500.0,4.96,136117.0,18643039150.0,11335195.0,1558589312500.0,krx-open-api
015760,한국전력,KOSPI,,20250314,22300.0,22650.0,22200.0,22250.0,-100.0,-0.45,992208.0,22216789575.0,641964077.0,14283700713250.0,krx-open-api
016360,삼성증권,KOSPI,,20250314,45450.0,45500.0,45000.0,45050.0,-450.0,-0.99,247700.0,11194457550.0,89300000.0,4022965000000.0,krx-open-api
017670,SK텔레콤,KOSPI,,20250314,56000.0,56000.0,55200.0,55300.0,-700.0,-1.25,510417.0,28276532550.0,214790053.0,11877889930900.0,krx-open-api
017800,현대엘리베이,KOSPI,,20250314,55500.0,56400.0,55500.0,55500.0,200.0,0.36,71515.0,3997668300.0,39092385.0,2169627367500.0,krx-open-api
017960,한국카본,KOSPI,,20250314,15690.0,15890.0,15370.0,15630.0,30.0,0.19,350896.0,5463882655.0,51908452.0,811329104760.0,krx-open-api
018260,삼성에스디에스,KOSPI,,20250314,119500.0,120900.0,118600.0,120200.0,1000.0,0.84,109152.0,13114094350.0,77377800.0,9300811560000.0,krx-open-api
018880,한온시스템,KOSPI,,20250314,4005.0,4050.0,3985.0,3995.0,-10.0,-0.25,744075.0,2982160561.0,678762552.0,2711656395240.0,krx-open-api
020150,롯데에너지머티리얼즈,KOSPI,,20250314,26500.0,27000.0,25500.0,26100.0,-50.0,-0.19,148917.0,3882932000.0,46110835.0,1203492793500.0,krx-open-api
021240,코웨이,KOSPI,,20250314,83700.0,84400.0,81300.0,83500.0,-1000.0,-1.18,145203.0,12071776000.0,72563745.0,6059072707500.0,krx-open-api
022100,포스코DX,KOSPI,,20250314,29100.0,30150.0,27550.0,27600.0,-1700.0,-5.8,4659536.0,132823878600.0,152034729.0,4196158520400.0,krx-open-api
023530,롯데쇼핑,KOSPI,,20250314,67100.0,67700.0,66100.0,66700.0,-400.0,-0.6,31410.0,2099919100.0,28288755.0,1886859958500.0,krx-open-api
024110,기업은행,KOSPI,,20250314,15730.0,15800.0,15560.0,15700.0,-80.0,-0.51,879679.0,13825651705.0,797425869.0,12519586143300.0,krx-open-api
026960,동서,KOSPI,,20250314,25700.0,26050.0,25450.0,25750.0,50.0,0.19,50022.0,1288260000.0,99700000.0,2567275000000.0,krx-open-api
028050,삼성E&A,KOSPI,,20250314,19330.0,19570.0,18740.0,18740.0,-560.0,-2.9,1658343.0,31568048870.0,196000000.0,3673040000000.0,krx-open-api
028260,삼성물산,KOSPI,,20250314,119100.0,119800.0,118300.0,119600.0,700.0,0.59,275806.0,32863040350.0,169976544.0,20329194662400.0,krx-open-api
