ticker,company,market,market_cap,source_bas_dt
005930,삼성전자,KOSPI,1610649756504000.0,20260519
000660,SK하이닉스,KOSPI,1243665626925000.0,20260519
005935,삼성전자우,KOSPI,145068713502400.0,20260519
402340,SK스퀘어,KOSPI,134597553720000.0,20260519
005380,현대차,KOSPI,123673690664000.0,20260519
373220,LG에너지솔루션,KOSPI,93600000000000.0,20260519
009150,삼성전기,KOSPI,73722677952000.0,20260519
034020,두산에너빌리티,KOSPI,67899481476000.0,20260519
012450,한화에어로스페이스,KOSPI,66310533686000.0,20260519
329180,HD현대중공업,KOSPI,62766812550000.0,20260519
032830,삼성생명,KOSPI,62400000000000.0,20260519
207940,삼성바이오로직스,KOSPI,62307620046000.0,20260519
028260,삼성물산,KOSPI,61705297270500.0,20260519
000270,기아,KOSPI,60474973390200.0,20260519
105560,KB금융,KOSPI,56971549524000.0,20260519
012330,현대모비스,KOSPI,47634606075000.0,20260519
006400,삼성SDI,KOSPI,47303706110000.0,20260519
055550,신한지주,KOSPI,44570044497900.0,20260519
068270,셀트리온,KOSPI,40503732632500.0,20260519
267260,HD현대일렉트릭,KOSPI,39471612825000.0,20260519
034730,SK,KOSPI,37628902857000.0,20260519
006800,미래에셋증권,KOSPI,37155240832000.0,20260519
010120,LS ELECTRIC,KOSPI,36525000000000.0,20260519
005490,POSCO홀딩스,KOSPI,34905892643500.0,20260519
042660,한화오션,KOSPI,34287658788600.0,20260519
298040,효성중공업,KOSPI,33381881840000.0,20260519
086790,하나금융지주,KOSPI,31634601344400.0,20260519
066570,LG전자,KOSPI,31225320387900.0,20260519
035420,NAVER,KOSPI,31072507587800.0,20260519
010130,고려아연,KOSPI,28679459406000.0,20260519
009540,HD한국조선해양,KOSPI,28309246400000.0,20260519
042700,한미반도체,KOSPI,27449913600000.0,20260519
015760,한국전력,KOSPI,25132893614550.0,20260519
010140,삼성중공업,KOSPI,25124000000000.0,20260519
051910,LG화학,KOSPI,24742616221500.0,20260519
000810,삼성화재,KOSPI,24600757623000.0,20260519
316140,우리금융지주,KOSPI,22242512496000.0,20260519
064350,현대로템,KOSPI,21348232510800.0,20260519
017670,SK텔레콤,KOSPI,20984988178100.0,20260519
267250,HD현대,KOSPI,20933167525000.0,20260519
033780,KT&G,KOSPI,20320701494000.0,20260519
096770,SK이노베이션,KOSPI,20218713444800.0,20260519
003670,포스코퓨처엠,KOSPI,19923953280000.0,20260519
272210,한화시스템,KOSPI,19666508394900.0,20260519
196170,알테오젠,KOSDAQ,19620153459500.0,20260519
079550,LIG디펜스앤에어로스페이스,KOSPI,18964000000000.0,20260519
011070,LG이노텍,KOSPI,18768015851000.0,20260519
011200,HMM,KOSPI,18694976565400.0,20260519
035720,카카오,KOSPI,18428841392000.0,20260519
247540,에코프로비엠,KOSDAQ,17844271161600.0,20260519
006260,LS,KOSPI,16879200000000.0,20260519
086520,에코프로,KOSDAQ,16510380083200.0,20260519
024110,기업은행,KOSPI,16426972901400.0,20260519
003550,LG,KOSPI,16239532900500.0,20260519
086280,현대글로비스,KOSPI,16050000000000.0,20260519
047810,한국항공우주,KOSPI,15771472312600.0,20260519
278470,에이피알,KOSPI,14881666612500.0,20260519
307950,현대오토에버,KOSPI,14699254352000.0,20260519
030200,KT,KOSPI,14163618697000.0,20260519
018260,삼성에스디에스,KOSPI,13231603800000.0,20260519
259960,크래프톤,KOSPI,13084695216000.0,20260519
071050,한국금융지주,KOSPI,13039882128000.0,20260519
277810,레인보우로보틱스,KOSDAQ,12920305428000.0,20260519
047050,포스코인터내셔널,KOSPI,12420148832800.0,20260519
010950,S-Oil,KOSPI,12395365399200.0,20260519
047040,대우건설,KOSPI,11115051607900.0,20260519
005940,NH투자증권,KOSPI,11064492657450.0,20260519
005830,DB손해보험,KOSPI,10748607270900.0,20260519
323410,카카오뱅크,KOSPI,10592073701400.0,20260519
003230,삼양식품,KOSPI,10478423865000.0,20260519
016360,삼성증권,KOSPI,10224850000000.0,20260519
352820,하이브,KOSPI,10172130764000.0,20260519
001440,대한전선,KOSPI,9918996360000.0,20260519
039490,키움증권,KOSPI,9901189290000.0,20260519
443060,HD현대마린솔루션,KOSPI,9773694280000.0,20260519
028050,삼성E&A,KOSPI,9653000000000.0,20260519
003490,대한항공,KOSPI,9500093053800.0,20260519
007660,이수페타시스,KOSPI,8875174577100.0,20260519
005387,현대차2우B,KOSPI,8793428395000.0,20260519
000250,삼천당제약,KOSDAQ,8573706016000.0,20260519
036930,주성엔지니어링,KOSDAQ,8222510304900.0,20260519
267270,HD건설기계,KOSPI,7743022645200.0,20260519
062040,산일전기,KOSPI,7516191175000.0,20260519
161390,한국타이어앤테크놀로지,KOSPI,7482054167600.0,20260519
180640,한진칼,KOSPI,7450670336400.0,20260519
058470,리노공업,KOSDAQ,7323958785000.0,20260519
326030,SK바이오팜,KOSPI,7283132250000.0,20260519
064400,LG씨엔에스,KOSPI,7247068910400.0,20260519
009830,한화솔루션,KOSPI,7099161736800.0,20260519
078930,GS,KOSPI,7015111039000.0,20260519
090430,아모레퍼시픽,KOSPI,7013281804100.0,20260519
032640,LG유플러스,KOSPI,6688129203800.0,20260519
353200,대덕전자,KOSPI,6636693027500.0,20260519
028300,HLB,KOSDAQ,6591507169500.0,20260519
454910,두산로보틱스,KOSPI,6488479998000.0,20260519
021240,코웨이,KOSPI,6446912508600.0,20260519
241560,두산밥캣,KOSPI,6441527568000.0,20260519
000500,가온전선,KOSPI,6418728620000.0,20260519
377300,카카오페이,KOSPI,6390343590750.0,20260519
034220,LG디스플레이,KOSPI,6355000000000.0,20260519
066970,엘앤에프,KOSPI,6337431071000.0,20260519
298380,에이비엘바이오,KOSDAQ,6270595856000.0,20260519
005385,현대차우,KOSPI,5811899040000.0,20260519
