ticker,company,result,net_return_pct,signal_hhmm,opening_width_pct,entry_vs_opening_high_pct,signal_close_vs_vwap_pct,volume_ratio,cum_value_bil,pre_signal_low_vs_opening_high_pct,rank,signal_score,day_change_pct,market_median_change_pct,value_ratio_20,close_location_pct,lower_tail_recovery_pct,close_vs_open_pct,distance_from_60d_high_pct,entry_gap_pct
011170,롯데케미칼,target_hit,1.2,932,1.4040561622464809,0.9230769230769154,0.898265053259939,2.243727975595645,2.0665446,-1.3846153846153841,1.0,69.45,6.03,0.0,1.82,98.1,8.86,6.2,-6.47,-0.922
009830,한화솔루션,target_hit,1.2,924,1.726618705035965,-0.14144271570014633,0.9378991852207808,1.9375309368534623,26.6415341,-1.980198019801982,2.0,62.42,6.14,0.0,1.88,90.2,5.51,2.31,-13.01,-0.987
373220,LG에너지솔루션,stop_loss,-1.5,911,1.5847860538827252,-0.15600624024960652,0.33478010544698567,1.7263183693476574,9.0225785,-1.5600624024960985,2.0,67.29,4.26,0.43,2.02,100.0,3.58,2.75,-9.92,-0.629
018290,브이티,stop_loss,-1.5,944,1.7543859649122862,0.2652519893899141,0.39827684317625955,1.6954594098761657,4.1737829,-1.7241379310344862,1.0,67.09,8.7,0.0,1.57,98.4,8.85,8.7,-17.67,-1.2
035900,JYP Ent.,stop_loss,-1.5,936,2.6420079260237816,-0.38610038610038533,0.9214773082223626,6.030259617736468,7.8637758,-2.8314028314028294,2.0,65.36,4.11,0.2,1.58,100.0,4.11,3.26,-7.32,0.0
001040,CJ,target_hit,1.2,945,3.2459425717852763,-0.9068923821039854,0.31918155868135845,4.5971867007672635,5.8945937,-3.1438935912938337,1.0,66.39,6.83,-0.08,2.07,90.4,6.62,6.28,-6.33,-0.302
018290,브이티,time_exit,-0.983,936,1.1612903225806548,0.0,0.37712105399354545,3.0365799911855444,2.65395785,-1.1479591836734748,2.0,64.79,5.38,0.0,1.8,91.5,5.81,5.81,-14.05,-0.383
005940,NH투자증권,time_exit,-0.342,940,1.3569937369519725,-0.1544799176107059,0.021612113853852755,2.3061296351472143,2.08508895,-1.3388259526261548,1.0,49.61,1.43,0.0,1.74,95.8,2.47,0.58,-18.64,0.0
034230,파라다이스,stop_loss,-1.5,911,2.163461538461542,-0.23529411764705577,0.8514889777064605,1.9229052338438855,2.41194875,-2.117647058823524,1.0,68.42,8.37,0.14,1.94,93.8,7.65,7.65,-6.64,0.711
096770,SK이노베이션,time_exit,-0.977,922,1.0436432637571214,-0.3755868544600971,0.1659491185833195,2.013504225124328,3.6643596,-1.0328638497652531,2.0,66.43,4.93,0.39,2.14,100.0,3.2,2.8,-16.87,-0.846
071050,한국금융지주,target_hit,1.2,916,2.6912181303116123,-0.4137931034482789,0.5600842413885365,2.5249915323946386,6.8791456,-2.6206896551724146,1.0,70.76,6.79,0.34,2.05,94.1,5.99,5.44,-13.72,0.0
