filter,signals,successes,failures,time_exits,success_rate,wilson_low,avg_net_return_pct
signal_close_vs_vwap_pct >= 0.5; volume_ratio >= 2.5; day_change_pct >= 5,10,9,1,0,90.0,59.58,0.93
signal_close_vs_vwap_pct >= 0.8; volume_ratio >= 2.0; cum_value_bil <= 10,9,8,1,0,88.89,56.5,0.9
signal_close_vs_vwap_pct >= 0.8; volume_ratio >= 2.0; day_change_pct >= 5,9,8,1,0,88.89,56.5,0.9
signal_close_vs_vwap_pct >= 0.8; day_change_pct >= 5; distance_from_60d_high_pct <= -8,9,8,1,0,88.89,56.5,0.9
signal_score >= 70; day_change_pct >= 5,8,7,1,0,87.5,52.91,0.862
signal_hhmm <= 940; signal_score >= 70; day_change_pct >= 5,8,7,1,0,87.5,52.91,0.862
entry_vs_opening_high_pct >= -0.5; volume_ratio >= 2.5; day_change_pct >= 5,8,7,0,1,87.5,52.91,0.927
signal_close_vs_vwap_pct >= 0.3; signal_score >= 70; day_change_pct >= 5,8,7,1,0,87.5,52.91,0.862
signal_close_vs_vwap_pct >= 0.5; volume_ratio >= 3.0; day_change_pct >= 5,8,7,1,0,87.5,52.91,0.862
signal_close_vs_vwap_pct >= 0.5; signal_score >= 70; day_change_pct >= 5,8,7,1,0,87.5,52.91,0.862
signal_close_vs_vwap_pct >= 0.5; day_change_pct >= 5; distance_from_60d_high_pct <= -10,8,7,0,1,87.5,52.91,1.064
signal_close_vs_vwap_pct >= 0.8; volume_ratio >= 2.0; cum_value_bil <= 8,8,7,1,0,87.5,52.91,0.862
signal_close_vs_vwap_pct >= 0.8; volume_ratio >= 2.5; cum_value_bil <= 10,8,7,1,0,87.5,52.91,0.862
signal_close_vs_vwap_pct >= 0.8; volume_ratio >= 2.5; distance_from_60d_high_pct <= -8,8,7,1,0,87.5,52.91,0.862
signal_close_vs_vwap_pct >= 0.8; cum_value_bil <= 15; distance_from_60d_high_pct <= -8,8,7,1,0,87.5,52.91,0.862
volume_ratio >= 2.5; cum_value_bil <= 10; distance_from_60d_high_pct <= -10,8,7,0,1,87.5,52.91,0.927
volume_ratio >= 2.5; day_change_pct >= 5,12,10,1,1,83.33,55.2,0.793
signal_close_vs_vwap_pct >= 0.3; volume_ratio >= 2.5; day_change_pct >= 5,12,10,1,1,83.33,55.2,0.793
volume_ratio >= 2.0; volume_ratio >= 2.5; day_change_pct >= 5,12,10,1,1,83.33,55.2,0.793
signal_close_vs_vwap_pct >= 0.8; cum_value_bil <= 10; day_change_pct >= 5,11,9,2,0,81.82,52.3,0.709
signal_close_vs_vwap_pct >= 0.8; cum_value_bil <= 15; day_change_pct >= 5,11,9,2,0,81.82,52.3,0.709
volume_ratio >= 2.5; cum_value_bil <= 10; day_change_pct >= 5,11,9,1,1,81.82,52.3,0.756
volume_ratio >= 2.5; cum_value_bil <= 15; day_change_pct >= 5,11,9,1,1,81.82,52.3,0.756
volume_ratio >= 2.5; day_change_pct >= 5; entry_gap_pct >= -1.5,11,9,1,1,81.82,52.3,0.756
volume_ratio >= 2.5; day_change_pct >= 5; entry_gap_pct >= -1,11,9,1,1,81.82,52.3,0.756
volume_ratio >= 2.5; day_change_pct >= 5; distance_from_60d_high_pct <= -8,11,9,1,1,81.82,52.3,0.756
volume_ratio >= 3.0; day_change_pct >= 5,10,8,1,1,80.0,49.02,0.712
signal_hhmm <= 940; day_change_pct >= 5; distance_from_60d_high_pct <= -10,10,8,0,2,80.0,49.02,0.873
entry_vs_opening_high_pct >= -0.8; volume_ratio >= 2.5; day_change_pct >= 5,10,8,1,1,80.0,49.02,0.712
entry_vs_opening_high_pct >= -0.5; volume_ratio >= 2.0; day_change_pct >= 5,10,8,1,1,80.0,49.02,0.712
signal_close_vs_vwap_pct >= 0.3; volume_ratio >= 3.0; day_change_pct >= 5,10,8,1,1,80.0,49.02,0.712
signal_close_vs_vwap_pct >= 0.8; volume_ratio >= 2.0; cum_value_bil <= 15,10,8,2,0,80.0,49.02,0.66
volume_ratio >= 2.0; volume_ratio >= 3.0; day_change_pct >= 5,10,8,1,1,80.0,49.02,0.712
volume_ratio >= 2.5; volume_ratio >= 3.0; day_change_pct >= 5,10,8,1,1,80.0,49.02,0.712
volume_ratio >= 2.5; cum_value_bil <= 8; day_change_pct >= 5,10,8,1,1,80.0,49.02,0.712
signal_close_vs_vwap_pct >= 0.5; day_change_pct >= 5; distance_from_60d_high_pct <= -8,14,11,2,1,78.57,52.41,0.736
signal_close_vs_vwap_pct >= 0.5; signal_score >= 70,9,7,2,0,77.78,45.26,0.6
signal_close_vs_vwap_pct >= 0.8; volume_ratio >= 2.5,9,7,2,0,77.78,45.26,0.6
volume_ratio >= 2.5; distance_from_60d_high_pct <= -10,9,7,1,1,77.78,45.26,0.657
signal_hhmm <= 935; volume_ratio >= 2.0; day_change_pct >= 5,9,7,2,0,77.78,45.26,0.6
signal_hhmm <= 940; signal_close_vs_vwap_pct >= 0.5; signal_score >= 70,9,7,2,0,77.78,45.26,0.6
signal_hhmm <= 940; volume_ratio >= 2.5; day_change_pct >= 5,9,7,1,1,77.78,45.26,0.657
signal_hhmm <= 940; volume_ratio >= 2.5; distance_from_60d_high_pct <= -10,9,7,1,1,77.78,45.26,0.657
opening_width_pct <= 3.0; volume_ratio >= 2.5; day_change_pct >= 5,9,7,1,1,77.78,45.26,0.657
entry_vs_opening_high_pct >= -0.8; signal_close_vs_vwap_pct >= 0.8; volume_ratio >= 2.5,9,7,2,0,77.78,45.26,0.6
entry_vs_opening_high_pct >= -0.8; signal_close_vs_vwap_pct >= 0.8; cum_value_bil <= 5,9,7,2,0,77.78,45.26,0.6
entry_vs_opening_high_pct >= -0.8; volume_ratio >= 2.5; distance_from_60d_high_pct <= -10,9,7,1,1,77.78,45.26,0.657
entry_vs_opening_high_pct >= -0.5; volume_ratio >= 2.5; distance_from_60d_high_pct <= -10,9,7,1,1,77.78,45.26,0.657
entry_vs_opening_high_pct >= -0.5; day_change_pct >= 5; distance_from_60d_high_pct <= -10,9,7,1,1,77.78,45.26,0.657
signal_close_vs_vwap_pct >= 0.3; signal_close_vs_vwap_pct >= 0.5; signal_score >= 70,9,7,2,0,77.78,45.26,0.6
signal_close_vs_vwap_pct >= 0.3; signal_close_vs_vwap_pct >= 0.8; volume_ratio >= 2.5,9,7,2,0,77.78,45.26,0.6
signal_close_vs_vwap_pct >= 0.3; volume_ratio >= 2.5; distance_from_60d_high_pct <= -10,9,7,1,1,77.78,45.26,0.657
signal_close_vs_vwap_pct >= 0.5; signal_close_vs_vwap_pct >= 0.8; volume_ratio >= 2.5,9,7,2,0,77.78,45.26,0.6
signal_close_vs_vwap_pct >= 0.5; volume_ratio >= 3.0; distance_from_60d_high_pct <= -8,9,7,2,0,77.78,45.26,0.6
signal_close_vs_vwap_pct >= 0.8; volume_ratio >= 2.0; volume_ratio >= 2.5,9,7,2,0,77.78,45.26,0.6
signal_close_vs_vwap_pct >= 0.8; volume_ratio >= 2.5; cum_value_bil <= 15,9,7,2,0,77.78,45.26,0.6
signal_close_vs_vwap_pct >= 0.8; cum_value_bil <= 5; day_change_pct >= 5,9,7,2,0,77.78,45.26,0.6
signal_close_vs_vwap_pct >= 0.8; cum_value_bil <= 8; day_change_pct >= 5,9,7,2,0,77.78,45.26,0.6
volume_ratio >= 2.0; volume_ratio >= 2.5; distance_from_60d_high_pct <= -10,9,7,1,1,77.78,45.26,0.657
volume_ratio >= 2.5; cum_value_bil <= 15; distance_from_60d_high_pct <= -10,9,7,1,1,77.78,45.26,0.657
volume_ratio >= 2.5; market_median_change_pct >= -0.5; day_change_pct >= 5,9,7,1,1,77.78,45.26,0.657
volume_ratio >= 2.5; entry_gap_pct >= -1.5; distance_from_60d_high_pct <= -10,9,7,1,1,77.78,45.26,0.657
volume_ratio >= 2.5; entry_gap_pct >= -1; distance_from_60d_high_pct <= -10,9,7,1,1,77.78,45.26,0.657
volume_ratio >= 2.5; distance_from_60d_high_pct <= -8; distance_from_60d_high_pct <= -10,9,7,1,1,77.78,45.26,0.657
volume_ratio >= 3.0; cum_value_bil <= 10; day_change_pct >= 5,9,7,1,1,77.78,45.26,0.657
volume_ratio >= 3.0; cum_value_bil <= 15; day_change_pct >= 5,9,7,1,1,77.78,45.26,0.657
volume_ratio >= 3.0; day_change_pct >= 5; entry_gap_pct >= -1.5,9,7,1,1,77.78,45.26,0.657
volume_ratio >= 3.0; day_change_pct >= 5; entry_gap_pct >= -1,9,7,1,1,77.78,45.26,0.657
volume_ratio >= 3.0; day_change_pct >= 5; distance_from_60d_high_pct <= -8,9,7,1,1,77.78,45.26,0.657
day_change_pct >= 5; entry_gap_pct >= -1; distance_from_60d_high_pct <= -10,9,7,0,2,77.78,45.26,0.836
signal_close_vs_vwap_pct >= 0.8; day_change_pct >= 5,13,10,3,0,76.92,49.74,0.577
entry_vs_opening_high_pct >= -0.5; signal_close_vs_vwap_pct >= 0.5; day_change_pct >= 5,13,10,3,0,76.92,49.74,0.577
signal_close_vs_vwap_pct >= 0.3; signal_close_vs_vwap_pct >= 0.8; day_change_pct >= 5,13,10,3,0,76.92,49.74,0.577
signal_close_vs_vwap_pct >= 0.5; signal_close_vs_vwap_pct >= 0.8; day_change_pct >= 5,13,10,3,0,76.92,49.74,0.577
signal_close_vs_vwap_pct >= 0.5; volume_ratio >= 2.0; day_change_pct >= 5,13,10,2,1,76.92,49.74,0.701
volume_ratio >= 2.0; cum_value_bil <= 10; day_change_pct >= 5,13,10,1,2,76.92,49.74,0.741
volume_ratio >= 2.0; cum_value_bil <= 15; day_change_pct >= 5,13,10,1,2,76.92,49.74,0.741
signal_hhmm <= 935; day_change_pct >= 5; distance_from_60d_high_pct <= -8,12,9,3,0,75.0,46.77,0.525
signal_hhmm <= 940; signal_close_vs_vwap_pct >= 0.8; day_change_pct >= 5,12,9,3,0,75.0,46.77,0.525
entry_vs_opening_high_pct >= -0.8; signal_close_vs_vwap_pct >= 0.8; day_change_pct >= 5,12,9,3,0,75.0,46.77,0.525
signal_close_vs_vwap_pct >= 0.5; volume_ratio >= 2.5; distance_from_60d_high_pct <= -8,12,9,3,0,75.0,46.77,0.525
volume_ratio >= 2.0; cum_value_bil <= 8; day_change_pct >= 5,12,9,1,2,75.0,46.77,0.702
volume_ratio >= 2.5; cum_value_bil <= 10; distance_from_60d_high_pct <= -8,12,9,2,1,75.0,46.77,0.568
opening_width_pct <= 3.0; signal_score >= 70,8,6,2,0,75.0,40.93,0.525
signal_score >= 70; distance_from_60d_high_pct <= -8,8,6,2,0,75.0,40.93,0.525
signal_hhmm <= 930; day_change_pct >= 5; distance_from_60d_high_pct <= -8,8,6,2,0,75.0,40.93,0.525
signal_hhmm <= 935; entry_vs_opening_high_pct >= -0.5; volume_ratio >= 2.5,8,6,1,1,75.0,40.93,0.631
signal_hhmm <= 940; opening_width_pct <= 3.0; signal_score >= 70,8,6,2,0,75.0,40.93,0.525
signal_hhmm <= 940; signal_close_vs_vwap_pct >= 0.8; volume_ratio >= 2.5,8,6,2,0,75.0,40.93,0.525
signal_hhmm <= 940; signal_score >= 70; distance_from_60d_high_pct <= -8,8,6,2,0,75.0,40.93,0.525
opening_width_pct <= 3.0; signal_close_vs_vwap_pct >= 0.3; signal_score >= 70,8,6,2,0,75.0,40.93,0.525
opening_width_pct <= 3.0; volume_ratio >= 3.0; day_change_pct >= 5,8,6,1,1,75.0,40.93,0.59
entry_vs_opening_high_pct >= -0.8; signal_close_vs_vwap_pct >= 0.5; signal_score >= 70,8,6,2,0,75.0,40.93,0.525
entry_vs_opening_high_pct >= -0.8; volume_ratio >= 3.0; day_change_pct >= 5,8,6,1,1,75.0,40.93,0.59
entry_vs_opening_high_pct >= -0.8; signal_score >= 70; distance_from_60d_high_pct <= -8,8,6,2,0,75.0,40.93,0.525
entry_vs_opening_high_pct >= -0.5; signal_close_vs_vwap_pct >= 0.8; volume_ratio >= 2.5,8,6,2,0,75.0,40.93,0.525
entry_vs_opening_high_pct >= -0.5; signal_close_vs_vwap_pct >= 0.8; cum_value_bil <= 5,8,6,2,0,75.0,40.93,0.525
entry_vs_opening_high_pct >= -0.5; volume_ratio >= 2.5; cum_value_bil <= 5,8,6,0,2,75.0,40.93,0.695
entry_vs_opening_high_pct >= -0.2; signal_close_vs_vwap_pct >= 0.5; day_change_pct >= 5,8,6,2,0,75.0,40.93,0.525
entry_vs_opening_high_pct >= -0.2; signal_close_vs_vwap_pct >= 0.8; day_change_pct >= 5,8,6,2,0,75.0,40.93,0.525
signal_close_vs_vwap_pct >= 0.3; signal_score >= 70; distance_from_60d_high_pct <= -8,8,6,2,0,75.0,40.93,0.525
signal_close_vs_vwap_pct >= 0.5; market_median_change_pct >= -0.5; signal_score >= 70,8,6,2,0,75.0,40.93,0.525
signal_close_vs_vwap_pct >= 0.5; market_median_change_pct >= 0; signal_score >= 70,8,6,2,0,75.0,40.93,0.525
signal_close_vs_vwap_pct >= 0.5; signal_score >= 70; entry_gap_pct >= -1.5,8,6,2,0,75.0,40.93,0.525
signal_close_vs_vwap_pct >= 0.5; signal_score >= 70; entry_gap_pct >= -1,8,6,2,0,75.0,40.93,0.525
signal_close_vs_vwap_pct >= 0.5; signal_score >= 70; distance_from_60d_high_pct <= -8,8,6,2,0,75.0,40.93,0.525
signal_close_vs_vwap_pct >= 0.8; volume_ratio >= 2.5; entry_gap_pct >= -1.5,8,6,2,0,75.0,40.93,0.525
signal_close_vs_vwap_pct >= 0.8; volume_ratio >= 2.5; entry_gap_pct >= -1,8,6,2,0,75.0,40.93,0.525
volume_ratio >= 2.0; day_change_pct >= 5; distance_from_60d_high_pct <= -10,8,6,0,2,75.0,40.93,0.791
volume_ratio >= 2.5; cum_value_bil <= 5; day_change_pct >= 5,8,6,1,1,75.0,40.93,0.59
volume_ratio >= 2.5; market_median_change_pct >= -0.5; distance_from_60d_high_pct <= -10,8,6,1,1,75.0,40.93,0.59
volume_ratio >= 2.5; market_median_change_pct >= 0; day_change_pct >= 5,8,6,1,1,75.0,40.93,0.59
volume_ratio >= 3.0; cum_value_bil <= 8; day_change_pct >= 5,8,6,1,1,75.0,40.93,0.59
signal_score >= 70; entry_gap_pct >= -1.5; distance_from_60d_high_pct <= -8,8,6,2,0,75.0,40.93,0.525
signal_score >= 70; entry_gap_pct >= -1; distance_from_60d_high_pct <= -8,8,6,2,0,75.0,40.93,0.525
volume_ratio >= 2.0; day_change_pct >= 5,15,11,2,2,73.33,48.05,0.622
signal_close_vs_vwap_pct >= 0.3; volume_ratio >= 2.0; day_change_pct >= 5,15,11,2,2,73.33,48.05,0.622
day_change_pct >= 5; distance_from_60d_high_pct <= -10,11,8,1,2,72.73,43.43,0.657
signal_hhmm <= 935; cum_value_bil <= 8; day_change_pct >= 5,11,8,3,0,72.73,43.43,0.464
signal_hhmm <= 935; cum_value_bil <= 10; day_change_pct >= 5,11,8,3,0,72.73,43.43,0.464
signal_hhmm <= 935; cum_value_bil <= 15; day_change_pct >= 5,11,8,3,0,72.73,43.43,0.464
opening_width_pct <= 3.0; signal_close_vs_vwap_pct >= 0.8; day_change_pct >= 5,11,8,3,0,72.73,43.43,0.464
entry_vs_opening_high_pct >= -0.8; signal_close_vs_vwap_pct >= 0.8; cum_value_bil <= 10,11,8,3,0,72.73,43.43,0.464
entry_vs_opening_high_pct >= -0.8; day_change_pct >= 5; distance_from_60d_high_pct <= -10,11,8,1,2,72.73,43.43,0.657
entry_vs_opening_high_pct >= -0.5; signal_close_vs_vwap_pct >= 0.8; day_change_pct >= 5,11,8,3,0,72.73,43.43,0.464
entry_vs_opening_high_pct >= -0.5; volume_ratio >= 2.5; cum_value_bil <= 10,11,8,1,2,72.73,43.43,0.587
entry_vs_opening_high_pct >= -0.5; volume_ratio >= 2.5; distance_from_60d_high_pct <= -8,11,8,1,2,72.73,43.43,0.534
signal_close_vs_vwap_pct >= 0.8; day_change_pct >= 5; entry_gap_pct >= -1.5,11,8,3,0,72.73,43.43,0.464
signal_close_vs_vwap_pct >= 0.8; day_change_pct >= 5; entry_gap_pct >= -1,11,8,3,0,72.73,43.43,0.464
volume_ratio >= 2.5; cum_value_bil <= 8; distance_from_60d_high_pct <= -8,11,8,2,1,72.73,43.43,0.511
day_change_pct >= 5; distance_from_60d_high_pct <= -8; distance_from_60d_high_pct <= -10,11,8,1,2,72.73,43.43,0.657
signal_close_vs_vwap_pct >= 0.5; day_change_pct >= 5,18,13,4,1,72.22,49.13,0.539
signal_close_vs_vwap_pct >= 0.3; signal_close_vs_vwap_pct >= 0.5; day_change_pct >= 5,18,13,4,1,72.22,49.13,0.539
signal_close_vs_vwap_pct >= 0.5; cum_value_bil <= 10; day_change_pct >= 5,14,10,3,1,71.43,45.35,0.544
signal_close_vs_vwap_pct >= 0.5; cum_value_bil <= 15; day_change_pct >= 5,14,10,3,1,71.43,45.35,0.544
volume_ratio >= 2.0; day_change_pct >= 5; entry_gap_pct >= -1.5,14,10,2,2,71.43,45.35,0.58
volume_ratio >= 2.0; day_change_pct >= 5; entry_gap_pct >= -1,14,10,2,2,71.43,45.35,0.58
signal_score >= 70,10,7,3,0,70.0,39.68,0.39
signal_hhmm <= 940; signal_score >= 70,10,7,3,0,70.0,39.68,0.39
signal_close_vs_vwap_pct >= 0.3; signal_score >= 70,10,7,3,0,70.0,39.68,0.39
signal_close_vs_vwap_pct >= 0.8; cum_value_bil <= 5,10,7,3,0,70.0,39.68,0.39
signal_hhmm <= 935; signal_close_vs_vwap_pct >= 0.8; day_change_pct >= 5,10,7,3,0,70.0,39.68,0.39
signal_hhmm <= 935; volume_ratio >= 2.5; cum_value_bil <= 8,10,7,2,1,70.0,39.68,0.475
signal_hhmm <= 935; volume_ratio >= 2.5; cum_value_bil <= 10,10,7,2,1,70.0,39.68,0.475
signal_hhmm <= 935; volume_ratio >= 2.5; distance_from_60d_high_pct <= -8,10,7,3,0,70.0,39.68,0.39
signal_hhmm <= 935; cum_value_bil <= 5; day_change_pct >= 5,10,7,3,0,70.0,39.68,0.39
signal_hhmm <= 935; cum_value_bil <= 8; distance_from_60d_high_pct <= -10,10,7,1,2,70.0,39.68,0.572
signal_hhmm <= 940; signal_close_vs_vwap_pct >= 0.3; signal_score >= 70,10,7,3,0,70.0,39.68,0.39
entry_vs_opening_high_pct >= -0.8; signal_close_vs_vwap_pct >= 0.8; cum_value_bil <= 8,10,7,3,0,70.0,39.68,0.39
entry_vs_opening_high_pct >= -0.5; signal_close_vs_vwap_pct >= 0.5; volume_ratio >= 2.5,10,7,2,1,70.0,39.68,0.475
entry_vs_opening_high_pct >= -0.5; signal_close_vs_vwap_pct >= 0.8; cum_value_bil <= 10,10,7,3,0,70.0,39.68,0.39
entry_vs_opening_high_pct >= -0.5; volume_ratio >= 2.5; cum_value_bil <= 8,10,7,1,2,70.0,39.68,0.526
signal_close_vs_vwap_pct >= 0.3; signal_close_vs_vwap_pct >= 0.8; cum_value_bil <= 5,10,7,3,0,70.0,39.68,0.39
signal_close_vs_vwap_pct >= 0.3; day_change_pct >= 5; distance_from_60d_high_pct <= -10,10,7,1,2,70.0,39.68,0.603
signal_close_vs_vwap_pct >= 0.5; signal_close_vs_vwap_pct >= 0.8; cum_value_bil <= 5,10,7,3,0,70.0,39.68,0.39
signal_close_vs_vwap_pct >= 0.8; cum_value_bil <= 5; cum_value_bil <= 8,10,7,3,0,70.0,39.68,0.39
signal_close_vs_vwap_pct >= 0.8; cum_value_bil <= 5; cum_value_bil <= 10,10,7,3,0,70.0,39.68,0.39
signal_close_vs_vwap_pct >= 0.8; cum_value_bil <= 5; cum_value_bil <= 15,10,7,3,0,70.0,39.68,0.39
signal_close_vs_vwap_pct >= 0.8; market_median_change_pct >= -0.5; day_change_pct >= 5,10,7,3,0,70.0,39.68,0.39
signal_close_vs_vwap_pct >= 0.8; market_median_change_pct >= 0; day_change_pct >= 5,10,7,3,0,70.0,39.68,0.39
volume_ratio >= 2.0; cum_value_bil <= 5; day_change_pct >= 5,10,7,1,2,70.0,39.68,0.603
volume_ratio >= 2.5; cum_value_bil <= 5; distance_from_60d_high_pct <= -8,10,7,2,1,70.0,39.68,0.442
cum_value_bil <= 10; day_change_pct >= 5; distance_from_60d_high_pct <= -10,10,7,1,2,70.0,39.68,0.603
cum_value_bil <= 15; day_change_pct >= 5; distance_from_60d_high_pct <= -10,10,7,1,2,70.0,39.68,0.603
market_median_change_pct >= -0.5; day_change_pct >= 5; distance_from_60d_high_pct <= -10,10,7,1,2,70.0,39.68,0.603
market_median_change_pct >= 0; day_change_pct >= 5; distance_from_60d_high_pct <= -10,10,7,1,2,70.0,39.68,0.603
day_change_pct >= 5; entry_gap_pct >= -1.5; distance_from_60d_high_pct <= -10,10,7,1,2,70.0,39.68,0.603
signal_close_vs_vwap_pct >= 0.8; cum_value_bil <= 10,13,9,4,0,69.23,42.37,0.369
signal_hhmm <= 935; signal_close_vs_vwap_pct >= 0.3; day_change_pct >= 5,13,9,4,0,69.23,42.37,0.369
signal_hhmm <= 935; signal_close_vs_vwap_pct >= 0.5; day_change_pct >= 5,13,9,4,0,69.23,42.37,0.369
entry_vs_opening_high_pct >= -0.8; volume_ratio >= 2.0; day_change_pct >= 5,13,9,2,2,69.23,42.37,0.533
entry_vs_opening_high_pct >= -0.5; day_change_pct >= 5; distance_from_60d_high_pct <= -8,13,9,3,1,69.23,42.37,0.409
signal_close_vs_vwap_pct >= 0.3; signal_close_vs_vwap_pct >= 0.8; cum_value_bil <= 10,13,9,4,0,69.23,42.37,0.369
signal_close_vs_vwap_pct >= 0.5; signal_close_vs_vwap_pct >= 0.8; cum_value_bil <= 10,13,9,4,0,69.23,42.37,0.369
signal_close_vs_vwap_pct >= 0.8; cum_value_bil <= 10; cum_value_bil <= 15,13,9,4,0,69.23,42.37,0.369
volume_ratio >= 2.0; day_change_pct >= 5; distance_from_60d_high_pct <= -8,13,9,2,2,69.23,42.37,0.533
volume_ratio >= 2.5; cum_value_bil <= 15; distance_from_60d_high_pct <= -8,13,9,3,1,69.23,42.37,0.409
cum_value_bil <= 10; day_change_pct >= 5; distance_from_60d_high_pct <= -8,13,9,2,2,69.23,42.37,0.533
cum_value_bil <= 15; day_change_pct >= 5; distance_from_60d_high_pct <= -8,13,9,2,2,69.23,42.37,0.533
signal_hhmm <= 940; signal_close_vs_vwap_pct >= 0.5; day_change_pct >= 5,16,11,4,1,68.75,44.4,0.457
opening_width_pct <= 3.0; signal_close_vs_vwap_pct >= 0.5; day_change_pct >= 5,16,11,4,1,68.75,44.4,0.457
entry_vs_opening_high_pct >= -0.8; signal_close_vs_vwap_pct >= 0.5; day_change_pct >= 5,16,11,4,1,68.75,44.4,0.457
signal_close_vs_vwap_pct >= 0.3; day_change_pct >= 5; distance_from_60d_high_pct <= -8,16,11,3,2,68.75,44.4,0.489
signal_close_vs_vwap_pct >= 0.5; day_change_pct >= 5; entry_gap_pct >= -1.5,16,11,4,1,68.75,44.4,0.457
signal_close_vs_vwap_pct >= 0.5; day_change_pct >= 5; entry_gap_pct >= -1,16,11,4,1,68.75,44.4,0.457
signal_close_vs_vwap_pct >= 0.3; day_change_pct >= 5,21,14,5,2,66.67,45.37,0.401
cum_value_bil <= 10; day_change_pct >= 5,18,12,4,2,66.67,43.75,0.418
cum_value_bil <= 15; day_change_pct >= 5,18,12,4,2,66.67,43.75,0.418
day_change_pct >= 5; distance_from_60d_high_pct <= -8,18,12,4,2,66.67,43.75,0.418
signal_close_vs_vwap_pct >= 0.3; day_change_pct >= 5; entry_gap_pct >= -1,18,12,4,2,66.67,43.75,0.418
cum_value_bil <= 10; cum_value_bil <= 15; day_change_pct >= 5,18,12,4,2,66.67,43.75,0.418
signal_hhmm <= 935; day_change_pct >= 5,15,10,5,0,66.67,41.71,0.3
volume_ratio >= 2.5; cum_value_bil <= 10,15,10,3,2,66.67,41.71,0.391
volume_ratio >= 2.5; distance_from_60d_high_pct <= -8,15,10,3,2,66.67,41.71,0.352
signal_hhmm <= 935; signal_hhmm <= 940; day_change_pct >= 5,15,10,5,0,66.67,41.71,0.3
signal_hhmm <= 935; entry_vs_opening_high_pct >= -0.8; day_change_pct >= 5,15,10,5,0,66.67,41.71,0.3
signal_hhmm <= 940; cum_value_bil <= 10; day_change_pct >= 5,15,10,3,2,66.67,41.71,0.442
signal_hhmm <= 940; cum_value_bil <= 15; day_change_pct >= 5,15,10,3,2,66.67,41.71,0.442
signal_hhmm <= 940; day_change_pct >= 5; distance_from_60d_high_pct <= -8,15,10,3,2,66.67,41.71,0.442
entry_vs_opening_high_pct >= -0.5; signal_close_vs_vwap_pct >= 0.3; day_change_pct >= 5,15,10,4,1,66.67,41.71,0.334
signal_close_vs_vwap_pct >= 0.3; volume_ratio >= 2.5; cum_value_bil <= 10,15,10,3,2,66.67,41.71,0.391
signal_close_vs_vwap_pct >= 0.3; volume_ratio >= 2.5; distance_from_60d_high_pct <= -8,15,10,3,2,66.67,41.71,0.352
signal_close_vs_vwap_pct >= 0.5; market_median_change_pct >= -0.5; day_change_pct >= 5,15,10,4,1,66.67,41.71,0.407
signal_close_vs_vwap_pct >= 0.5; market_median_change_pct >= 0; day_change_pct >= 5,15,10,4,1,66.67,41.71,0.407
volume_ratio >= 2.0; volume_ratio >= 2.5; cum_value_bil <= 10,15,10,3,2,66.67,41.71,0.391
volume_ratio >= 2.0; volume_ratio >= 2.5; distance_from_60d_high_pct <= -8,15,10,3,2,66.67,41.71,0.352
volume_ratio >= 2.5; cum_value_bil <= 10; cum_value_bil <= 15,15,10,3,2,66.67,41.71,0.391
day_change_pct >= 5; entry_gap_pct >= -1; distance_from_60d_high_pct <= -8,15,10,3,2,66.67,41.71,0.442
signal_hhmm <= 935; entry_vs_opening_high_pct >= -0.5; day_change_pct >= 5,12,8,4,0,66.67,39.06,0.3
signal_hhmm <= 935; volume_ratio >= 2.0; cum_value_bil <= 8,12,8,2,2,66.67,39.06,0.414
signal_hhmm <= 935; volume_ratio >= 2.0; cum_value_bil <= 10,12,8,2,2,66.67,39.06,0.414
signal_hhmm <= 940; signal_close_vs_vwap_pct >= 0.8; cum_value_bil <= 10,12,8,4,0,66.67,39.06,0.3
signal_hhmm <= 940; volume_ratio >= 2.0; day_change_pct >= 5,12,8,2,2,66.67,39.06,0.477
signal_hhmm <= 940; volume_ratio >= 2.5; distance_from_60d_high_pct <= -8,12,8,3,1,66.67,39.06,0.343
opening_width_pct <= 3.0; volume_ratio >= 2.0; day_change_pct >= 5,12,8,2,2,66.67,39.06,0.477
opening_width_pct <= 3.0; volume_ratio >= 2.5; distance_from_60d_high_pct <= -8,12,8,2,2,66.67,39.06,0.365
entry_vs_opening_high_pct >= -0.8; signal_close_vs_vwap_pct >= 0.8; cum_value_bil <= 15,12,8,4,0,66.67,39.06,0.3
entry_vs_opening_high_pct >= -0.5; volume_ratio >= 2.5; cum_value_bil <= 15,12,8,2,2,66.67,39.06,0.414
entry_vs_opening_high_pct >= -0.5; cum_value_bil <= 10; day_change_pct >= 5,12,8,3,1,66.67,39.06,0.343
entry_vs_opening_high_pct >= -0.5; cum_value_bil <= 15; day_change_pct >= 5,12,8,3,1,66.67,39.06,0.343
signal_close_vs_vwap_pct >= 0.5; volume_ratio >= 2.5; cum_value_bil <= 10,12,8,3,1,66.67,39.06,0.37
signal_close_vs_vwap_pct >= 0.5; cum_value_bil <= 8; day_change_pct >= 5,12,8,3,1,66.67,39.06,0.434
volume_ratio >= 2.0; market_median_change_pct >= -0.5; day_change_pct >= 5,12,8,2,2,66.67,39.06,0.477
cum_value_bil <= 8; day_change_pct >= 5; distance_from_60d_high_pct <= -8,12,8,2,2,66.67,39.06,0.477
signal_hhmm <= 930; day_change_pct >= 5,9,6,3,0,66.67,35.42,0.3
