source_bas_dt,ticker,foreign_net_buy_value,institution_net_buy_value,retail_net_buy_value,source,updated_at
20260508,000040,713361.0,-2478.0,-710883.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,000150,-17138534000.0,-16399451000.0,33646955000.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,000155,3137998000.0,45900500.0,-3204390500.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,000250,5142602250.0,-1707549000.0,-4074287250.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,000270,20726286600.0,49207176650.0,-72595477900.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,000390,224386120.0,-21190095.0,-210328025.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,000660,-1754718064000.0,302953806500.0,1421511030000.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,000720,16580677150.0,2687923500.0,-18793726000.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,000810,21460232250.0,-13550894250.0,-7584912000.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,000880,6693352800.0,-2578324550.0,-4130697900.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,001040,7492486500.0,-4204279750.0,-3307001750.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,001120,2113937225.0,-3996487275.0,2014160800.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,001260,-90812760.0,1026330.0,92004480.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,001430,5893178400.0,-3199760550.0,-2674920750.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,001440,168419845100.0,35352058100.0,-202281605600.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,001450,-236615275.0,387719450.0,-47350575.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,001510,-4849742245.0,275954320.0,4924168345.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,001720,-756629350.0,912950650.0,-49564700.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,002380,2828069500.0,-383233000.0,-2364277500.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,003000,156518585.0,-559830260.0,399111255.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,003230,37534786500.0,24118831000.0,-61329270500.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,003280,1010245520.0,-2707460.0,-958341780.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,003310,248229550.0,0.0,-248229550.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,003490,-196626375.0,18101857825.0,-16507183875.0,pykrx-krx,2026-05-19T08:01:09+09:00
