source_bas_dt,ticker,short_sale_value,short_sale_total_value,short_sale_value_ratio,short_balance_value,short_balance_ratio,credit_balance_ratio,source,updated_at
20260508,000040,3717.0,50832966.0,0.0099999997764825,0.0,0.0,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,000150,13155951000.0,165340862000.0,7.960000038146973,15651435000.0,0.0599999986588954,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,000155,111664000.0,11071658500.0,1.0099999904632568,966690000.0,0.0399999991059303,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,000250,6058793500.0,118993431750.0,5.090000152587891,22707224000.0,0.2399999946355819,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,000270,23383859800.0,898014573650.0,2.5999999046325684,19584054000.0,0.0299999993294477,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,000390,19177590.0,2444010260.0,0.7799999713897705,5498242920.0,2.380000114440918,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,000660,50535924500.0,9561757253272.0,0.5299999713897705,83104626000.0,0.0099999997764825,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,000720,20816351700.0,212593391450.0,9.789999961853027,332653828000.0,1.820000052452088,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,000810,4374629000.0,115131678250.0,3.799999952316284,21973964000.0,0.1000000014901161,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,000880,3915976500.0,44992589100.0,8.699999809265137,42517452600.0,0.4300000071525574,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,001040,2034630000.0,26851837000.0,7.579999923706055,78124908000.0,1.2100000381469729,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,001120,2248396650.0,14200594125.0,15.829999923706056,398151900.0,0.0199999995529651,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,001260,5911690.0,454581300.0,1.2999999523162842,333171360.0,0.3400000035762787,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,001430,1170703300.0,35759858100.0,3.2699999809265137,37969918000.0,1.4299999475479126,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,001440,41093360000.0,1432447263650.0,2.869999885559082,9419171700.0,0.0700000002980232,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,001450,630562825.0,14505367775.0,4.349999904632568,7243685550.0,0.270000010728836,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,001510,1345768920.0,71529474525.0,1.8799999952316284,41092346520.0,3.4600000381469727,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,001720,323063400.0,4767823000.0,6.78000020980835,15683628000.0,0.4699999988079071,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,002380,1592089000.0,28165087500.0,5.650000095367432,3908094000.0,0.0700000002980232,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,003000,215778940.0,6294866195.0,3.430000066757202,106467920.0,0.0199999995529651,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,003230,5303774000.0,163193122000.0,3.25,464049680000.0,4.53000020980835,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,003280,124527690.0,21914560178.0,0.5699999928474426,3093213975.0,0.4799999892711639,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,003310,21147405.0,2443978172.0,0.8700000047683716,1203841440.0,1.0499999523162842,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,003490,869073950.0,166339085725.0,0.5199999809265137,38530290500.0,0.3899999856948852,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,003550,7241820100.0,74065890700.0,9.779999732971191,157363113600.0,0.9399999976158142,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,003670,8972322500.0,155973023750.0,5.75,755937780000.0,2.930000066757202,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,004020,2173047050.0,69093633300.0,3.150000095367432,14206292100.0,0.25,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,004170,3211271000.0,25137145750.0,12.779999732971191,0.0,0.0,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260508,004370,1860456000.0,11679262000.0,15.93000030517578,28572597500.0,1.2400000095367432,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,000040,1342788.0,178802745.0,0.75,0.0,0.0,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,000150,3532972500.0,155865757000.0,2.2699999809265137,16768280000.0,0.0599999986588954,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,000155,25980000.0,18666759000.0,0.1400000005960464,1325520000.0,0.050000000745058,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,000250,10586686500.0,136469268000.0,7.760000228881836,19621192500.0,0.2000000029802322,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,000270,21055650100.0,716303628500.0,2.940000057220459,21819855300.0,0.0299999993294477,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,000390,34616325.0,2964456075.0,1.1699999570846558,5134214250.0,2.289999961853028,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,000660,480864754000.0,19935651126000.0,2.4100000858306885,93676640000.0,0.0099999997764825,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,000720,10111079050.0,275438616500.0,3.670000076293945,312354267600.0,1.690000057220459,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,000810,9449892000.0,111297459500.0,8.489999771118164,24606125000.0,0.1099999994039535,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,000880,3671974700.0,39837798350.0,9.220000267028809,40095263500.0,0.4099999964237213,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,001040,2408875000.0,30132824250.0,7.989999771118164,78711566000.0,1.2300000190734863,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,001120,1854513700.0,12110689300.0,15.3100004196167,676678600.0,0.0399999991059303,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
20260511,001260,10344220.0,605671820.0,1.7100000381469729,315724320.0,0.3400000035762787,0.0,pykrx-krx,2026-05-19T08:01:09+09:00
