reference_day,entry_date,rank,ticker,company,market,signal_score,day_change_pct,market_median_change_pct,value_ratio_20,close_location_pct,lower_tail_recovery_pct,close_vs_open_pct,distance_from_60d_high_pct,entry_gap_pct,backfill_status,backfill_rows,date,signal_time,entry_time,entry_price,target_price,stop_price,exit_time,exit_price,exit_reason,gross_return_pct,net_return_pct,opening_high,opening_low,entry_vwap,note,source_path,entry_date_compact,reference_day_compact,signal_hhmm,opening_width_pct,is_signal,is_success,is_failure_exit,is_time_exit
2025-09-08,2025-09-09,2,336570,원텍,KOSDAQ,71.35,10.93,0.14,2.32,92.4,10.93,10.82,-17.52,-0.904,skipped_existing,380,20250909,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,10980.0,10530.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250909\336570.csv,20250909,20250908,9999,4.2735042735042805,False,False,False,False
2025-09-15,2025-09-16,2,101490,에스앤에스텍,KOSDAQ,65.4,7.57,0.0,1.77,92.9,7.78,5.06,-6.41,0.37,skipped_existing,381,20250916,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,54300.0,53000.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250916\101490.csv,20250916,20250915,9999,2.452830188679256,False,False,False,False
2025-09-24,2025-09-25,1,204620,글로벌텍스프리,KOSDAQ,62.75,7.3,-0.63,1.83,92.6,8.59,7.3,-19.28,-0.949,skipped_existing,381,20250925,093200,093300,6270.0,6382.86,6213.57,093500,6382.86,target_hit,1.8,1.2,6290.0,6160.0,6197.85,,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20250925\204620.csv,20250925,20250924,932,2.110389610389607,True,True,False,False
2025-10-01,2025-10-02,2,023160,태광,KOSDAQ,69.21,7.95,0.0,2.2,92.1,6.7,6.1,-13.78,0.0,skipped_existing,381,20251002,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,27850.0,27050.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20251002\023160.csv,20251002,20251001,9999,2.957486136783727,False,False,False,False
2025-10-22,2025-10-23,1,000880,한화,KOSPI,75.62,5.84,0.6,2.1,98.7,8.59,4.68,-6.06,-2.081,skipped_existing,381,20251023,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,94800.0,92400.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20251023\000880.csv,20251023,20251022,9999,2.5974025974025983,False,False,False,False
2025-10-30,2025-10-31,2,003230,삼양식품,KOSPI,65.24,6.27,-0.94,2.22,92.9,7.48,6.79,-20.6,0.0,skipped_existing,381,20251031,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,1389000.0,1349000.0,0.0,no_vwap_reclaim_signal,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20251031\003230.csv,20251031,20251030,9999,2.9651593773165397,False,False,False,False
2025-12-17,2025-12-18,2,041510,에스엠,KOSDAQ,70.66,5.82,0.0,2.45,90.4,5.91,4.97,-22.75,-0.254,skipped_existing,381,20251218,092300,092400,118200.0,120327.6,117136.2,095100,120327.6,target_hit,1.8,1.2,117900.0,115500.0,117174.21,,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20251218\041510.csv,20251218,20251217,923,2.0779220779220786,True,True,False,False
2025-12-30,2026-01-02,2,006280,녹십자,KOSPI,64.7,6.5,-0.26,1.77,93.8,8.16,6.28,-7.23,0.126,skipped_existing,319,20260102,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,0.0,0.0,0.0,missing_opening_range,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20260102\006280.csv,20260102,20251230,9999,0.0,False,False,False,False
2026-01-09,2026-01-12,2,009540,HD한국조선해양,KOSPI,78.83,5.3,0.27,2.5,100.0,5.8,4.81,-9.61,-0.447,skipped_existing,381,20260112,093600,093700,445000.0,453010.0,440995.0,112000,451500.0,time_exit,1.461,0.861,445000.0,433000.0,440125.25,,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20260112\009540.csv,20260112,20260109,936,2.771362586605086,True,False,False,True
2026-01-27,2026-01-28,1,084370,유진테크,KOSDAQ,72.11,9.81,0.06,1.93,100.0,11.95,9.94,-15.78,0.0,skipped_existing,381,20260128,,,0.0,0.0,0.0,,0.0,no_signal,0.0,0.0,96100.0,92700.0,0.0,opening_range_too_wide,D:\Users\PC2310\Desktop\multi AI agent\programs\kr_daypilot\data\historical_intraday\minute_bars\20260128\084370.csv,20260128,20260127,9999,3.6677454153182243,False,False,False,False
