ticker,company,result,net_return_pct,signal_hhmm,opening_width_pct,entry_vs_opening_high_pct,signal_close_vs_vwap_pct,volume_ratio,cum_value_bil,pre_signal_low_vs_opening_high_pct,rank,signal_score,day_change_pct,market_median_change_pct,value_ratio_20,close_location_pct,distance_from_60d_high_pct,entry_gap_pct
071050,한국금융지주,target_hit,1.2,916,2.6912181303116123,-0.4137931034482789,0.5600842413885365,2.5249915323946386,6.8791456,-2.6206896551724146,1.0,70.76,6.79,0.34,2.05,94.1,-13.72,0.0
204620,글로벌텍스프리,target_hit,1.2,932,2.110389610389607,-0.31796502384737746,0.8414751523528663,4.1456839212665635,2.526073125,-2.5437201907790197,1.0,62.75,7.3,-0.63,1.83,92.6,-19.28,-0.949
071970,HD현대마린엔진,stop_loss,-1.5,928,2.807017543859658,-0.6825938566552892,0.6028170428677759,3.383301162265391,4.2736718,-2.7303754266211566,2.0,62.6,6.63,0.0,1.52,92.3,-8.11,-0.679
083650,비에이치아이,stop_loss,-1.5,914,3.23809523809524,0.5535055350553542,1.9003256849746908,2.525290260159106,14.1210222,-3.136531365313655,1.0,67.16,12.27,-0.4,2.11,93.3,-9.09,-0.926
025980,아난티,time_exit,0.008,940,1.848049281314168,-0.5040322580645129,0.9707622456147424,3.6298734855589796,4.42726944,-2.4193548387096753,1.0,56.87,6.63,0.25,2.33,91.2,-10.41,-0.612
004800,효성,target_hit,1.2,937,3.4259857789269654,-0.187499999999996,2.2832554029391217,6.278882487765595,9.7270141,-4.3124999999999964,1.0,70.52,8.81,1.95,1.54,92.6,-11.54,0.0
100090,SK오션플랜트,target_hit,1.2,914,2.3243801652892637,0.8581524482584646,2.257271735098776,3.1355644053191734,3.08360641,-2.5744573447753605,1.0,78.13,6.69,0.74,2.3,98.3,-36.7,-0.702
041510,에스엠,target_hit,1.2,923,2.0779220779220786,0.2544529262086481,1.046124722652464,3.1820185103569854,2.0790975,-2.035623409669207,1.0,70.66,5.82,0.0,2.45,90.4,-22.75,-0.254
009540,HD한국조선해양,time_exit,0.861,936,2.771362586605086,0.0,0.9939787764229102,4.800793519590015,19.2691265,-2.696629213483148,1.0,78.83,5.3,0.27,2.5,100.0,-9.61,-0.447
041190,우리기술투자,target_hit,1.2,934,3.1980319803198043,-0.47675804529201393,1.3949888578989267,2.8048542980256594,3.795992805,-3.0989272943980906,1.0,69.75,5.32,0.8,1.7,95.0,-11.49,0.601
079550,LIG넥스원,target_hit,1.2,943,2.783300198807148,-0.9671179883945835,0.7761989114037471,4.820659971305596,22.093937,-2.7079303675048405,1.0,65.4,6.44,0.0,1.94,90.2,-9.86,-0.768
044490,태웅,target_hit,1.2,926,2.9296875,-0.5692599620493399,1.625435759586713,5.7370517928286855,3.134619,-2.8462998102466774,1.0,70.73,12.77,-0.53,2.09,100.0,-9.86,-0.566
078350,한양디지텍,target_hit,1.2,943,2.547770700636942,0.6211180124223503,2.629256788573331,3.023939521209576,2.918925425,-3.7267080745341574,2.0,68.25,10.96,-0.53,2.45,90.8,-8.73,-2.006
