filter,signals,successes,failures,time_exits,success_rate,wilson_low,avg_net_return_pct
signal_close_vs_vwap_pct >= 0.6; volume_ratio >= 2.8,11,8,1,2,72.73,43.43,0.815
signal_close_vs_vwap_pct >= 0.6; volume_ratio >= 3.0,10,7,1,2,70.0,39.68,0.777
signal_close_vs_vwap_pct >= 0.6; volume_ratio >= 3.5,6,4,0,2,66.67,30.0,0.945
signal_close_vs_vwap_pct >= 0.6; cum_value_bil <= 5,8,6,1,1,75.0,40.93,0.714
signal_close_vs_vwap_pct >= 0.6; cum_value_bil <= 8,8,6,1,1,75.0,40.93,0.714
signal_close_vs_vwap_pct >= 0.6; cum_value_bil <= 10,9,7,1,1,77.78,45.26,0.768
signal_close_vs_vwap_pct >= 0.6; market_median_change_pct >= -0.5,9,5,2,2,55.56,26.66,0.43
signal_close_vs_vwap_pct >= 0.6; market_median_change_pct >= 0,8,5,1,2,62.5,30.57,0.671
signal_close_vs_vwap_pct >= 0.6; day_change_pct >= 6,9,6,2,1,66.67,35.42,0.468
signal_close_vs_vwap_pct >= 0.6; entry_gap_pct >= -1.5,11,7,2,2,63.64,35.38,0.57
signal_close_vs_vwap_pct >= 0.6; entry_gap_pct >= -1,11,7,2,2,63.64,35.38,0.57
signal_close_vs_vwap_pct >= 0.6; distance_from_60d_high_pct <= -8,12,8,2,2,66.67,39.06,0.622
signal_close_vs_vwap_pct >= 0.6; distance_from_60d_high_pct <= -10,6,5,0,1,83.33,43.65,1.001
signal_close_vs_vwap_pct >= 0.8; signal_close_vs_vwap_pct >= 1.0,7,6,1,0,85.71,48.69,0.814
signal_close_vs_vwap_pct >= 0.8; signal_close_vs_vwap_pct >= 1.2,6,5,1,0,83.33,43.65,0.75
signal_close_vs_vwap_pct >= 0.8; volume_ratio >= 2.8,9,7,0,2,77.78,45.26,1.03
signal_close_vs_vwap_pct >= 0.8; volume_ratio >= 3.0,8,6,0,2,75.0,40.93,1.009
signal_close_vs_vwap_pct >= 0.8; cum_value_bil <= 5,7,6,0,1,85.71,48.69,1.03
signal_close_vs_vwap_pct >= 0.8; cum_value_bil <= 8,7,6,0,1,85.71,48.69,1.03
signal_close_vs_vwap_pct >= 0.8; cum_value_bil <= 10,8,7,0,1,87.5,52.91,1.051
signal_close_vs_vwap_pct >= 0.8; market_median_change_pct >= -0.5,7,4,1,2,57.14,25.05,0.596
signal_close_vs_vwap_pct >= 0.8; market_median_change_pct >= 0,6,4,0,2,66.67,30.0,0.945
signal_close_vs_vwap_pct >= 0.8; day_change_pct >= 6,7,5,1,1,71.43,35.89,0.644
signal_close_vs_vwap_pct >= 0.8; entry_gap_pct >= -1.5,9,6,1,2,66.67,35.42,0.73
signal_close_vs_vwap_pct >= 0.8; entry_gap_pct >= -1,9,6,1,2,66.67,35.42,0.73
signal_close_vs_vwap_pct >= 0.8; distance_from_60d_high_pct <= -8,10,7,1,2,70.0,39.68,0.777
signal_close_vs_vwap_pct >= 0.8; distance_from_60d_high_pct <= -10,6,5,0,1,83.33,43.65,1.001
signal_close_vs_vwap_pct >= 1.0; signal_close_vs_vwap_pct >= 1.2,6,5,1,0,83.33,43.65,0.75
signal_close_vs_vwap_pct >= 1.0; volume_ratio >= 2.8,6,6,0,0,100.0,60.97,1.2
signal_close_vs_vwap_pct >= 1.0; cum_value_bil <= 10,6,6,0,0,100.0,60.97,1.2
signal_close_vs_vwap_pct >= 1.0; entry_gap_pct >= -1.5,6,5,1,0,83.33,43.65,0.75
signal_close_vs_vwap_pct >= 1.0; entry_gap_pct >= -1,6,5,1,0,83.33,43.65,0.75
signal_close_vs_vwap_pct >= 1.0; distance_from_60d_high_pct <= -8,7,6,1,0,85.71,48.69,0.814
signal_close_vs_vwap_pct >= 1.2; distance_from_60d_high_pct <= -8,6,5,1,0,83.33,43.65,0.75
volume_ratio >= 2.8; volume_ratio >= 3.0,10,7,1,2,70.0,39.68,0.777
volume_ratio >= 2.8; volume_ratio >= 3.5,6,4,0,2,66.67,30.0,0.945
volume_ratio >= 2.8; cum_value_bil <= 5,8,6,1,1,75.0,40.93,0.714
volume_ratio >= 2.8; cum_value_bil <= 8,8,6,1,1,75.0,40.93,0.714
volume_ratio >= 2.8; cum_value_bil <= 10,9,7,1,1,77.78,45.26,0.768
volume_ratio >= 2.8; market_median_change_pct >= -0.5,8,5,1,2,62.5,30.57,0.671
volume_ratio >= 2.8; market_median_change_pct >= 0,8,5,1,2,62.5,30.57,0.671
volume_ratio >= 2.8; day_change_pct >= 6,8,6,1,1,75.0,40.93,0.714
volume_ratio >= 2.8; entry_gap_pct >= -1.5,10,7,1,2,70.0,39.68,0.777
volume_ratio >= 2.8; entry_gap_pct >= -1,10,7,1,2,70.0,39.68,0.777
volume_ratio >= 2.8; distance_from_60d_high_pct <= -8,11,8,1,2,72.73,43.43,0.815
volume_ratio >= 2.8; distance_from_60d_high_pct <= -10,6,5,0,1,83.33,43.65,1.001
volume_ratio >= 3.0; volume_ratio >= 3.5,6,4,0,2,66.67,30.0,0.945
volume_ratio >= 3.0; cum_value_bil <= 5,7,5,1,1,71.43,35.89,0.644
volume_ratio >= 3.0; cum_value_bil <= 8,7,5,1,1,71.43,35.89,0.644
volume_ratio >= 3.0; cum_value_bil <= 10,8,6,1,1,75.0,40.93,0.714
volume_ratio >= 3.0; market_median_change_pct >= -0.5,7,4,1,2,57.14,25.05,0.596
volume_ratio >= 3.0; market_median_change_pct >= 0,7,4,1,2,57.14,25.05,0.596
volume_ratio >= 3.0; day_change_pct >= 6,8,6,1,1,75.0,40.93,0.714
volume_ratio >= 3.0; entry_gap_pct >= -1.5,9,6,1,2,66.67,35.42,0.73
volume_ratio >= 3.0; entry_gap_pct >= -1,9,6,1,2,66.67,35.42,0.73
volume_ratio >= 3.0; distance_from_60d_high_pct <= -8,10,7,1,2,70.0,39.68,0.777
volume_ratio >= 3.5; entry_gap_pct >= -1.5,6,4,0,2,66.67,30.0,0.945
volume_ratio >= 3.5; entry_gap_pct >= -1,6,4,0,2,66.67,30.0,0.945
volume_ratio >= 3.5; distance_from_60d_high_pct <= -8,6,4,0,2,66.67,30.0,0.945
cum_value_bil <= 5; cum_value_bil <= 8,8,6,1,1,75.0,40.93,0.714
cum_value_bil <= 5; cum_value_bil <= 10,8,6,1,1,75.0,40.93,0.714
cum_value_bil <= 5; day_change_pct >= 6,6,4,1,1,66.67,30.0,0.551
cum_value_bil <= 5; entry_gap_pct >= -1.5,7,5,1,1,71.43,35.89,0.644
cum_value_bil <= 5; entry_gap_pct >= -1,7,5,1,1,71.43,35.89,0.644
cum_value_bil <= 5; distance_from_60d_high_pct <= -8,8,6,1,1,75.0,40.93,0.714
cum_value_bil <= 8; cum_value_bil <= 10,9,7,1,1,77.78,45.26,0.768
cum_value_bil <= 8; market_median_change_pct >= -0.5,6,4,1,1,66.67,30.0,0.551
cum_value_bil <= 8; market_median_change_pct >= 0,6,4,1,1,66.67,30.0,0.551
cum_value_bil <= 8; day_change_pct >= 6,7,5,1,1,71.43,35.89,0.644
cum_value_bil <= 8; entry_gap_pct >= -1.5,8,6,1,1,75.0,40.93,0.714
cum_value_bil <= 8; entry_gap_pct >= -1,8,6,1,1,75.0,40.93,0.714
cum_value_bil <= 8; distance_from_60d_high_pct <= -8,9,7,1,1,77.78,45.26,0.768
cum_value_bil <= 8; distance_from_60d_high_pct <= -10,6,5,0,1,83.33,43.65,1.001
cum_value_bil <= 10; market_median_change_pct >= -0.5,7,5,1,1,71.43,35.89,0.644
cum_value_bil <= 10; market_median_change_pct >= 0,7,5,1,1,71.43,35.89,0.644
cum_value_bil <= 10; day_change_pct >= 6,8,6,1,1,75.0,40.93,0.714
cum_value_bil <= 10; entry_gap_pct >= -1.5,9,7,1,1,77.78,45.26,0.768
cum_value_bil <= 10; entry_gap_pct >= -1,9,7,1,1,77.78,45.26,0.768
cum_value_bil <= 10; distance_from_60d_high_pct <= -8,10,8,1,1,80.0,49.02,0.811
cum_value_bil <= 10; distance_from_60d_high_pct <= -10,7,6,0,1,85.71,48.69,1.03
market_median_change_pct >= -0.5; market_median_change_pct >= 0,9,6,1,2,66.67,35.42,0.73
market_median_change_pct >= -0.5; day_change_pct >= 6,7,4,2,1,57.14,25.05,0.258
market_median_change_pct >= -0.5; entry_gap_pct >= -1.5,10,6,2,2,60.0,31.27,0.507
market_median_change_pct >= -0.5; entry_gap_pct >= -1,10,6,2,2,60.0,31.27,0.507
market_median_change_pct >= -0.5; distance_from_60d_high_pct <= -8,10,6,2,2,60.0,31.27,0.507
market_median_change_pct >= -0.5; distance_from_60d_high_pct <= -10,6,5,0,1,83.33,43.65,1.001
market_median_change_pct >= 0; day_change_pct >= 6,6,4,1,1,66.67,30.0,0.551
market_median_change_pct >= 0; entry_gap_pct >= -1.5,9,6,1,2,66.67,35.42,0.73
market_median_change_pct >= 0; entry_gap_pct >= -1,9,6,1,2,66.67,35.42,0.73
market_median_change_pct >= 0; distance_from_60d_high_pct <= -8,9,6,1,2,66.67,35.42,0.73
market_median_change_pct >= 0; distance_from_60d_high_pct <= -10,6,5,0,1,83.33,43.65,1.001
day_change_pct >= 6; entry_gap_pct >= -1.5,9,6,2,1,66.67,35.42,0.468
day_change_pct >= 6; entry_gap_pct >= -1,9,6,2,1,66.67,35.42,0.468
day_change_pct >= 6; distance_from_60d_high_pct <= -8,10,7,2,1,70.0,39.68,0.541
entry_gap_pct >= -1.5; entry_gap_pct >= -1,12,8,2,2,66.67,39.06,0.622
entry_gap_pct >= -1.5; distance_from_60d_high_pct <= -8,12,8,2,2,66.67,39.06,0.622
entry_gap_pct >= -1.5; distance_from_60d_high_pct <= -10,7,6,0,1,85.71,48.69,1.03
entry_gap_pct >= -1; distance_from_60d_high_pct <= -8,12,8,2,2,66.67,39.06,0.622
entry_gap_pct >= -1; distance_from_60d_high_pct <= -10,7,6,0,1,85.71,48.69,1.03
distance_from_60d_high_pct <= -8; distance_from_60d_high_pct <= -10,7,6,0,1,85.71,48.69,1.03
